0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1.2107,1.0763,104.15,0.7406,0.7037,1.2816,1.3365,6.5195,7.8154,18388.0,555.9,3177.29,236.57,124.38,1811.33,77.13,90.957,0.257,1.015,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.692,1874.0,45.48,2.454,13311.0,16860.0,3706.38,26450.0,21.48,6721.5,26405.0,3.534,6557.0,5573.5,22127.5,8206.5,102.82,12647.5,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.18,0.97,0.15,-24.75,0.0,0.0,0.0,1607471253.7350788
1.2107,1.0762,104.14,0.7407,0.7037,1.2815,1.3365,6.5195,7.8148,18390.0,556.1,3177.29,236.57,124.38,1811.33,77.14,90.957,0.257,1.015,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.705,1874.15,45.52,2.454,13311.4,16860.0,3706.12,26482.5,21.48,6723.5,26405.0,3.534,6557.0,5573.5,22127.5,8206.5,102.82,12642.62,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.2,0.95,0.15,-24.75,0.0,0.0,0.0,1607471500.0984502
1.2107,1.0761,104.13,0.7407,0.704,1.2815,1.3367,6.5195,7.817,18339.0,554.43,3177.29,236.57,124.38,1811.33,77.15,90.957,0.257,1.012,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.71,1874.35,45.54,2.453,13316.4,16860.0,3707.62,26477.5,21.48,6721.5,26405.0,3.534,6558.7,5573.5,22127.5,8206.5,102.82,12651.62,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.2,0.9,0.15,-24.75,0.0,0.0,0.0,1607471744.2170837
1.2109,1.0763,104.14,0.7408,0.704,1.2817,1.3365,6.5195,7.8146,18332.0,553.78,3177.29,236.57,124.38,1811.33,77.15,90.957,0.257,1.012,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.71,1874.35,45.52,2.454,13312.3,16860.0,3706.12,26485.0,21.48,6724.5,26405.0,3.534,6557.4,5573.5,22127.5,8206.5,102.82,12647.5,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.25,0.9,0.15,-24.75,0.0,0.0,0.0,1607471986.9605453
1.2111,1.0764,104.14,0.7409,0.704,1.2813,1.3365,6.5195,7.817,18319.0,554.06,3177.29,236.57,124.38,1811.33,77.16,90.957,0.257,1.013,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.715,1874.5,45.56,2.453,13311.2,16860.0,3706.62,26552.5,21.48,6725.5,26405.0,3.534,6558.3,5573.5,22127.5,8206.5,102.82,12650.38,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.2,0.9,0.15,-24.75,25.4,-25.4,0.0,1607472238.0811818
1.2108,1.0761,104.12,0.7409,0.7041,1.2818,1.3365,6.5195,7.8145,18284.0,552.1,3177.29,236.57,124.38,1811.33,77.17,90.957,0.257,1.013,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.73,1875.0,45.55,2.449,13313.9,16860.0,3707.62,26585.0,21.48,6729.5,26405.0,3.534,6559.2,5573.5,22127.5,8206.5,102.82,12649.38,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.2,0.9,0.15,-24.75,25.4,-25.4,0.0,1607472495.1870582
1.2111,1.0764,104.13,0.7412,0.7042,1.2817,1.3368,6.5195,7.8139,18252.0,551.2,3177.29,236.57,124.38,1811.33,77.18,90.957,0.257,1.013,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.718,1874.3,45.55,2.447,13317.5,16860.0,3708.38,26610.0,21.48,6731.5,26405.0,3.534,6562.7,5573.5,22127.5,8206.5,102.82,12655.62,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.23,0.9,0.15,-24.75,25.4,-25.4,0.0,1607472737.6303892
1.2111,1.0764,104.13,0.7413,0.7043,1.2816,1.3368,6.5195,7.8139,18337.0,554.24,3177.29,236.57,124.38,1811.33,77.19,90.957,0.257,1.013,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.707,1873.75,45.59,2.45,13327.1,16860.0,3711.12,26645.0,21.4,6737.5,26405.0,3.54,6566.4,5573.5,22127.5,8206.5,102.82,12659.0,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.25,0.9,0.2,-24.75,25.4,-25.4,0.0,1607472986.250203
1.211,1.0764,104.16,0.7412,0.7041,1.2816,1.3367,6.5195,7.8139,18349.0,555.08,3177.29,236.57,124.38,1811.33,77.2,90.957,0.257,1.013,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.733,1873.95,45.58,2.448,13341.0,16860.0,3711.62,26655.0,21.43,6740.5,26405.0,3.542,6570.3,5573.5,22127.5,8206.5,102.82,12661.62,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.25,0.9,0.2,-24.75,25.4,-25.4,0.0,1607473233.546231
1.211,1.0763,104.15,0.7412,0.7043,1.2817,1.3368,6.5195,7.814,18371.0,554.43,3177.29,236.57,124.38,1811.33,77.22,90.957,0.257,1.013,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.727,1873.85,45.58,2.449,13341.0,16860.0,3711.38,26652.5,21.43,6738.5,26405.0,3.542,6570.3,5573.5,22127.5,8206.5,102.82,12661.5,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.25,0.9,0.2,-24.75,25.4,-25.4,0.0,1607473471.9151123
